"distr_id","amount","epoch_no","active_until","drep_id","raw","view","has_script"
"5973","203234330809",522,537,"3135","binary data","drep1rsmldjj7vg9a9r5lqsegynzw03yyfhzdqwfs8fq3ctsk2rwjlfy",False
"5974","13273608910",522,535,"11234","binary data","drep1rsutz65473znrj5mxv4z4xr72f5kfl4lnsmm4kvvla8mwjnaq75",False
"5975","17582182950",522,529,"4510","binary data","drep1rjkeeaxrw8wcur9x0kavl5jhygs30r5saywwet25zret5rtsuf3",False
"5976","54763623272",522,530,"77","binary data","drep1r5x95z3zmuld2gqwrfqym60g7dr9fer7ujy6j903lue36rd4fll",False
"5977","2315572105976",522,536,"4536","binary data","drep1rkkxhukd4q7vtg9tx6cv7gq8mxxrxzrkplljyhusr20t6v7jp44",False
"5978","134188710894",522,528,"1132","binary data","drep1rmdgqugrj694apvu4m2ystnwwkpmxc8fnee5fpahlqfnq2xkmv4",False
"5979","416728124",522,528,"3344","binary data","drep1rm7m95wu0qzrf2xwjm3d30xvnku5l7q52n068t9t290dczdearf",False
"5980","88491081239",522,535,"75","binary data","drep1ra0d88cf4n58pt3zdydxm26nq5ppkrq8qwu892hx8zwvueg6298",False
"5981","28343489461",522,528,"3632","binary data","drep1ra57hne7decdf0uejjq5pulyntnhs6cxxlf6zk3h4z6uvz25a7s",False
"5982","15333597313409",522,535,"5166","binary data","drep1ypft5p9fdetpr2zy7zww9j3nku6px06cwkstzqh75sk5vn6t4pa",False
"5983","10967590470713",522,536,"763","binary data","drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk",False
"5984","937245284681",522,541,"18600","binary data","drep1y99u6r8vdexm854trlwt3svysy953tv7e855vs4rxvaqsqehclg",False
"5985","223578494",522,535,"11437","binary data","drep1yxt7kfc7hgnnx4gw2xqrpgyp55cctjnh6wvlvwt0ck4pvcs3pap",False
"5986","116431206197",522,534,"143","binary data","drep1y286hnwjkxsrg4220fpd4hzer4j5pnj59mqd0fe55xtmzyra6as",False
"5987","1998661649",522,528,"495","binary data","drep1yvsn7mpypmtm2x2jzmx4es43zwn332w9u4taewq9z23rs398595",False
"5988","7807131700200",522,528,"703","binary data","drep1ydvwp8x9j8u4flwjqwxf8jdjwp9p4zf2x4rk7vv7fgzk6j2k7c6",False
"5989","2821928242",522,535,"1877","binary data","drep1ysy0kzhamk2cvfzrql50unfj9jkk2zffxtaae5zmc39cs3uec6j",False
"5990","1028909634898",522,535,"25","binary data","drep1yn6hlm88yyacdm9lej0n2kp4u9y2m55mnha82ugn46afkspmyfv",False
"5991","173157300883",522,539,"3488","binary data","drep1yeqgjtznp6w6w06aldmymccp9a9vzwsjh0dxljv2d5jqqjfhahy",False
"5992","585886384647",522,535,"80","binary data","drep1yexsztwc72cuhzgcs74slj5szlttg8ft7ywhhyql6pyhutj0uwp",False
"5993","24952344541",522,540,"16992","binary data","drep1y6ztdwasfpde4t544unxyp3avr5pzckrpym78zjdnn98ck43qkl",False
"5994","74599122000",522,527,"971","binary data","drep1ymkp9t4k5lnpd5rw2vaup85kchs9qltctp8lv6kgzfqls02q00d",False
"5995","63410260044",522,530,"5481","binary data","drep1ya3et54dvj0zp84yr7hhnq0550t6j5qzl9z7dmzf6fhqvu08cs6",False
"5996","937328201",522,528,"415","binary data","drep1yaj3k43yjt26y2hz7d2wm42j6gkvaq5j6z2da2f7n7jpkn854jk",False
"5997","12442050146741",522,535,"48","binary data","drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e",False
"5998","73602850106",522,531,"7670","binary data","drep1ya7dvl6qt4p6kcgkwmgasfncllqgdwveds98g252xz3w2eykxh0",False
"5999","3995639772179",522,539,"3714","binary data","drep19qg34ctllr7lh48nnj4akfc978qzqzuwzkgsdu6r3zc42e5y854",False
"6000","140492715510",522,540,"379","binary data","drep19ryvtdugtzffk0l0prd8egy8vfrwh7gjd084kxqvfsr550e3u0c",False
"6001","186908783000",522,539,"14511","binary data","drep19we4mh7zaxqmyasqgpr7h7hcuq5m6dwpx99j4mrcd3e4ufxuc8n",False
"6002","6026996603",522,527,"2181","binary data","drep1904hk8cmdhpe9w97g4rl3r7d4yedwe30pmw0jstl9673w2gv0xn",False
"6003","758423118378",522,540,"731","binary data","drep19jtzh8h0gs6dcz9mcyyqlwunwhtregu9uwvntcmfdxxlyrgelza",False
"6004","193936453020",522,528,"633","binary data","drep19ervrqweq8vr50csuuysuuavzj2ffhpt8sufvpkwuqxjvxehnck",False
"6005","355817954",522,535,"1436","binary data","drep19e3t86jddnsm2qh59tqv6skppnyqm5z5d6de82u5dr8hup7pwq0",False
"6006","268745072661",522,527,"1802","binary data","drep196ncstz9an8xke3emn7eckz0zffr9nmhd6cuvuanwn2cknvws67",False
"6007","23086635",522,536,"8744","binary data","drep19anze72jut4y9cqwnua3rx2t8e3mfq90unkvr753kwqd5uhhddd",False
"6008","10248210463",522,528,"44","binary data","drep197vrvw5thxhux8t9w5lc6lk6etm9cs44n2dav7jhe689u3gy4hs",False
"6009","385232997665",522,534,"8619","binary data","drep197uw8vcnn85whye0yqqes2tps773a3dcncgtqek05lh623md0ta",False
"6010","5111863912109",522,540,"3028","binary data","drep1xz3vmptcqz60srhcdxgr5uxrwm948zul8e0g6wewdhm3w3u5cln",False
"6011","2607528853852",522,536,"12061","binary data","drep1x9aslr4pjq7azdh2cyezcwtadazukgqmlepe86x2fkcejg7kzvm",False
"6012","185460817685",522,527,"338","binary data","drep1x8ksrnfvsdf8wfvsx2p7fef46zs2vq96kgvgkpk9ne0qkql6ljc",False
"6013","8828838327386",522,528,"963","binary data","drep1xgzlpyy3pvywm5wvhkvyz9cpga5wylme6wdu6l9vn5g6cp38jdj",False
"6014","55059423225",522,527,"1359","binary data","drep1xfzdeu7mutvla824en2mreg08h97gf0m7q2rcsg7nuspy6k0ysx",False
"6015","7730540270",522,528,"82","binary data","drep1xt7mz4vps99ruacy5tpk6x620qta6ystxhjtx83tjr3n2mg8skf",False
"6016","194835225402",522,529,"5683","binary data","drep1xvdsf99p008ay3k9rsyqsgch6lnkd8n8zf98w44sa82u2hdgu8j",False
"6017","667513447",522,537,"13288","binary data","drep1x3c66h6t5z85s76j3amsn36dg5njjcafplczrrc55mnwxl4mapt",False
"6018","158892001966",522,528,"165","binary data","drep1x45z8ntumqvata787epqnr9n7jnz242hr39nlzlltt8cq8c93k2",False
"6019","5769804696",522,537,"6432","binary data","drep1xheuq34xul6cmywjzasnj4afejuzt9v8wllznh96myp5kdr7z06",False
"6020","4894120813007",522,528,"3799","binary data","drep1xet3sscmgq2ma7d495h3yxj7uxpmfxq0ja5nspsqaus7k9ugq3t",False
"6021","3258256387",522,527,"2305","binary data","drep1xek543gacds6sy76tku75hl9mgqmu93wnh4t6nlrmvfn7ehvjxq",False
"6022","460051545",522,541,"18316","binary data","drep1xuq02e2eawt0lmtaztzunjzgphdlm8v3tl9eu9p22a2rgaxlayg",False
"6023","21878513817",522,527,"1281","binary data","drep1xa6mmkku2rea0v6n3u9vxlg9njfc4d4t08t4es7fv3ngwzru0dv",False
"6024","16948887150",522,533,"1017","binary data","drep1x7fk09chccz499pn5ghg5s4aezzccgdx6m6v0mkpqgpfg9lmjrc",False
"6025","2142654084",522,530,"6444","binary data","drep18yffk3quka4scz3twtupa6m97pgqgmlqvusnefpc3gzn6kw492d",False
"6026","392949838",522,530,"6549","binary data","drep18y3ch9fuefgt8ne87k9sjedm2y3pey5lcyzhpqkq02vujxntnxn",False
"6027","845059085813",522,527,"2030","binary data","drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt",False
"6028","45041568764",522,530,"6412","binary data","drep18vf8kasajmmtc9qu34q9phed9900s8xnrruqud26wa9cs2q0egr",False
"6029","354984030",522,531,"7594","binary data","drep18d02ma9c6qc7u628lr8jntlr0hq39mu7avydwjmvtpyfssv9uav",False
"6030","88809222894",522,535,"4090","binary data","drep183kpqfxmxtttuu6jxyug4m4mzn24y6270p5pg7d80530kj4u6m4",False
"6031","163861697292",522,535,"487","binary data","drep185r8rr6j9evjs984vnr7haf5cn3qw5w220usk23cxffvwuutaz3",False
"6032","65786968950",522,538,"14202","binary data","drep185yt5r9avk7m9zfyx4cuycak9eeksj0w6rfua6t9c4q6k23mz02",False
"6033","18548322763",522,535,"5593","binary data","drep184j4srn69aaqu00r8gjauqa6neh4w7xwzfzef0shwh3ggkylkee",False
"6034","9335433901",522,529,"4991","binary data","drep184auwjk3vqet79m9eeaxxuk8rx6z3p0cxl7h0m6t2y3tcllqz60",False
"6035","377616495",522,536,"12474","binary data","drep18cv5szwmq2ycn4xndxc8xrxvl8vnpnwawrpft9w9x6tjsg7eedn",False
"6036","2394291204598",522,536,"790","binary data","drep18c6dw0e6z9lx65f22zrzgl0z49j48k39ttxqk4q6h953utzepy5",False
"6037","97803435",522,530,"6403","binary data","drep18mkkzdkce07ye0h555zm3rurnhpy4uek4gvc9t4aq7pcul7yajp",False
"6038","145745365933",522,541,"18590","binary data","drep18umq74tx8du48h4gmxswztd6h03jxrkj62yfftl25w78xl64x4k",False
"6039","137871951",522,528,"3339","binary data","drep1gprwv3s0c7xskdprstawmx007amuhxwa7jahfrqwh5t05jwm04h",False
"6040","27181729155",522,538,"8000","binary data","drep1gzytparheacgne639a99cgfy9qk3muwc8qzrr2th3czpg87cn35",False
