epoch_no,drep_view,new_delegators,new_delegators_lag2,voting_power_lovelace
508,drep14cmcm8cj4deegmj4txax2n5dupm3ezz7yum5lx53jffaj33cmpc,0,0,
508,drep14f8srqlrhlcaqvygtch75nxxtk8eceedkr47kgtrvtpj7c49m0q,0,0,
508,drep14fs7kawaj8lk03e7595tkw04l5w7q7fypr9cms45p98vs6grces,0,0,
508,drep14fy2x53c2alz82nhrv4zy38rt3ckn84uavfqqh2ncxhmkkc5hp5,0,0,
508,drep14g0nfrxcqwcaqmpflpjxw9szwl8t6079a9eqesqu8qky52t5s8q,0,0,
508,drep14g32lj36uc2ja48tzkah0a82c78zgeaxmh0whpvuyt235u5tjrp,0,0,
508,drep14gjqh5uez0x22ppmtc96znnltzkssd8cxn9n72zhln93cfemuc6,0,0,
508,drep14htjan2w5sutfsjkv0fyvtgxeupjz0xkpcqwq8l76mv95h4wf98,0,0,
508,drep14kvycnnatuz9ah5ae6fk36752cxr3mlymx5mz5atsfwdx57nped,0,0,
508,drep14l69ewnmc5h6uftda9ghs3mw49hdu7w93e9alhzxckp0v5pczql,0,0,1421362231.0
508,drep14m432q88dzhj96tfyzvhqk09agk8t05mxgqhqweada8tgagyglj,0,0,
508,drep14nalsmdd8p3vgwl0zj27kf3qlgdd82ytpq3xs38f9dwu5g3w2vu,0,0,
508,drep14nys84knugup94a6endwz65crtqpsm7ce4mfgr22gjcm5azklxw,0,0,167168063.0
508,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,47,0,3571188357884.0
508,drep14q6ns48605zkf6u6mts8dahakcf38ys43x4m8z2yd84suqcf6c5,1,0,
508,drep14q7g8k8m4se5unp3tl4972hem6ut45zx0pwgqlre0rzuwuy72h4,1,0,
508,drep14qc0qal5thgakaw6zqpdcsxef4feh54gn4cf88jj78zd73txqzt,0,0,
508,drep14qm80e579gf629ekr4snl7jrvxgr0qrqmg4aqgnggcmy7pgpysf,0,0,1009386717264.0
508,drep14qqaag69jsjkuyxz8tql8ev9ghuftdq04s3gxsa02hcqvg8d6s5,0,0,
508,drep14r3cfh2r3zvlq2hj5slt754eamvkwhpyg2q6gnlttqx274gvgnf,0,0,
508,drep14szkhaljfxt3pvl3un4py82tavyy9vga8u5ct8gjeu2cj4369aj,0,0,
508,drep14t5em0542xgkqs5v64yadnma0q8q3lc0vagev23wvqey28m8zh3,0,0,
508,drep14t63upry4za808ashszv0ntcc8wu3h8zfyrtwgjzrnqnyxp3dlv,0,0,
508,drep14txrsg67e84twv53pc0g6vfp3lag5eywygxf802xph7f6cmx6en,0,0,
508,drep14ty8pgg4ewnyae5jg0ff9drpze9q3dql5w2w9dtt0jfg5dv9xcj,0,0,
508,drep14ua35t65qul2yt4s4vac80k2ps2c7fqvchenwh7ap4ng2adt8xs,0,0,
508,drep14wfkpl0n8kyjxj8gfay8fpqcj8ezgvdcvgtqyf9g5amfwa0r6zj,0,0,
508,drep14wqqslx994g2g3tmkj5pnt08xrq2f78x05yzc27lfe0hk3fqk09,0,0,
508,drep14x9gpk4w6v8k6n86qfqr77q0ec6334jnk8hrqn9ws288jjuf3p8,0,0,70016373309.0
508,drep14yhgfmv2mh569ewellg5393am04tkp6uxfrqmx20kmw55hcpq9l,0,0,
508,drep14zlqkugthmx6tjjz09lxj0wa4vphv0qjux5qdgnysphugtvzyht,0,0,
508,drep14zltkwhn8gr7ylfsesmcr8zynat0msq9d5sk8ugv0pknxc9xw74,0,0,
508,drep14zng94573r7m45q3ztm7jc24rxd9s3s39re0cfyfy9hzxj73qy9,0,0,
508,drep14ztwd5r95mqx7yks9ns475ht0zek8l68y4hstpjnczjrwn6n4x9,0,0,
508,drep1508rppkf6gv9rlx5uuyytj7k3mwf05c2mmw8hlpq43juzrzk8es,0,0,
508,drep1526vywz49jweqq39rvvw429vxcdpwvrwc33ycrdymv5jqeavazh,0,0,
508,drep15287ccp54c8jn7zt7jpldjp7yp9730zfu3x7vltqrck0jpg8dve,0,0,
508,drep15295w82kpfujmestecw6tjq5ujfs3cayd40zxzt2ts4wvqvu4kk,0,0,
508,drep154r6hqyyhlhys69x05wekzhq2nhpw5g7k29dgn28chvu7nj90k4,0,0,8448673.0
508,drep155cz0w692c98wgf46zq4cz8sg9z8ycdat3qd39egygz6k2yawm6,0,0,
508,drep155mx8fszw892n4f0afmy8vern5takfkuycgdgkfxxd3fws4gmfk,3,0,
508,drep156ve0n0022grgwz5yu49n6t0w60njz2veehux865e5e5kyfc0lq,0,0,365420222137.0
508,drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,0,0,
508,drep1598emjkjrrkq6dcdn5f9fk8hrsw92wt8zyh95crtu5amsxr9hec,0,0,
508,drep159gyj5naypamldy257r9g8hsmj8caxrjdw8j3ez0zl0qqu23zd6,0,0,
508,drep159qhvfc9m02g28978mx02zq7xdkswupczevajzumuw6nyrc7gqe,0,0,
508,drep159xnrxsy44agpep4ywvsy0p09e0fahkj9xg5n6qsyc9m5efurmc,0,0,
508,drep15a5ks8n8wu02f5jjvhhnqa680htp7yss2930vdgj9guf5fhr9na,0,0,
508,drep15csaja33a8vqe9hq5re678p0hd0yerpwgxen88gw4xl7k4cq7r5,0,0,
508,drep15dhxmqgz80u27n92lwmscgu38ddygvtvhwm7gzx50yxevakp3qh,0,0,
508,drep15drt3q3dn87qhhtrumk64ldsyxu4024jrjwgj72zus0sq7q9r8c,0,0,
508,drep15ep58js7066mhy0y5wwrlkmh96hncl7g0qynt9qn2qzp22dnmsp,1,0,
508,drep15ftv75chcll8fdhzntusav507jvddv97xuhujc2ewlxsv8t9sp4,0,0,
508,drep15hxx9tf7nwj8m3jv76h9npchu798009q3guc5ffsulrjgyjd0sz,0,0,
508,drep15j27l4stcpv6gkrqk007jztlw6d8cqp7e4kp4ghhn32twncz7nn,0,0,
508,drep15jfsq9scu72t6vgnwdq2n758985emj07xm6jad2s4jgx579tl48,0,0,
508,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,17,0,450193727739.0
508,drep15lmh0srsxdy2698qhthyvf3cywsrgqnr3me5zflk2he2jcstcaq,0,0,
508,drep15lqht2vkyxmjtpeyd228py6p334ac46w7g89zd3eze2wxndrs67,0,0,
508,drep15mr008j83j7n0aet3rfpw92trx24gc7hjmjdrk50fh9xslp09mx,0,0,
508,drep15nvw9d6zr6m08dpckkx4d3g6dplc5vh7yhekyjw0vq07spk38ak,2,0,93364489388.0
508,drep15q4rllknnyn2yt7kdzvdg4upwhezvswcsyuqurh3a72jkd6klvc,0,0,
508,drep15qd0zkacqx6eknw047hxdyzy7e50lx3v3sevl4qsnugrqg5w0lq,0,0,
508,drep15qh3g7k907ru8aw3ct2mw6uyuxe5v8d6zzcz7pdck0gays4rq5x,2,0,
508,drep15t44tkj2h0x7p2n8ewufh4fsk754adlftngrefzgz587sgm4k45,0,0,49281748069.0
508,drep15td6lshfws8kezwkts6ysjacashk9y6ldl2v50klr3v8urfg02k,0,0,250828043349.0
508,drep15tv59ngt58zm9ps5dtg4v7a4mqztf57l8slkzfxdw2kfk8qdtdz,0,0,712219221.0
508,drep15v2a3djn6jp0efdr7q5ym9gndzj3gs83mtj0ngcvm73gugewgp2,0,0,52667401650.0
508,drep15vadnrvmpksyx62q8pja6elxzwaummp4fdycu84f4uqwch7gmad,0,0,
508,drep15ve4z0r9zrdrecsnxcmsyep5g98yyh9vuddzvgs9vhahyqc9397,0,0,
508,drep15xhrqd8cpt0cwnp3rd77qg9fq73mpvp438pl2pqkmnasvccr5la,0,0,
508,drep15z2zrh8un2smxx328hajphnhu9kqmghcxftnp3xc4m4jut898u7,0,0,
508,drep15z6gl94e3rnaku6hz39gzy6yn8hfwpy4lm36zmten34vv39gmn3,0,0,
508,drep15zk6sxvlfhv79ttnm6sewvxl5s23896a7gs45887l0rfsp64j0x,0,0,
508,drep160cr2l7qsv404mwywar4tm7gj0px3d928ran4xjcdygnkucg7pf,0,0,
508,drep160v90f47eeqscq9aglzh8qxv8plskgxjtj9qgplgsz0kwskskjs,0,0,107333595562.0
508,drep163dul0xjttakqx9763s0xd6en452pvjclge6fu5r0057qkrtrw8,0,0,
