epoch_no,drep_view,new_delegators,new_delegators_lag2
559,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
560,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
561,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
562,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
563,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
564,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
565,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
566,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
567,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
568,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
569,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
570,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
571,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
572,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
573,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
574,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
575,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
576,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
577,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
578,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
508,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
509,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
510,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
511,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
512,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
513,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
514,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
515,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
516,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
517,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
518,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
519,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
520,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
521,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
522,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
523,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
524,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
525,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
526,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
527,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
528,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
529,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
530,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
531,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
532,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
533,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
534,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
535,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
536,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
537,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
538,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,1,0
539,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
540,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,1
541,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
542,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
543,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
544,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
545,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
546,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
547,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
548,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
549,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
550,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
551,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
552,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
553,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
554,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
555,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
556,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
557,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
558,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
559,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
560,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
561,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
562,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
563,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
564,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0
