distr_id,amount,epoch_no,active_until,drep_id,raw,view,has_script,unique_delegators
137,1223216373,508,527.0,1865,binary data,drep1sac59zfnu00sq7330gf7q0lxn9aesg0u6qxn0wfw8sd7xhulgl5,False,0
138,7297182354,508,527.0,1012,binary data,drep13zz5ngfxrjhm8lfqdrh8cr7flfemwh4ds2d9kh4xlcf6yvxrt9r,False,0
139,45409823448,508,527.0,2188,binary data,drep138wvk4kvnpeflff3pvghqla6stey9unksj47rvydwzwtq0z3k2d,False,11
140,339820546798,508,527.0,59,binary data,drep13tupcm5xg34kz7hq7cy7f67p2nszl6l0em2fjd4dp5kkgvyg6uw,False,0
141,4089196359128,508,527.0,612,binary data,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,False,150
142,7749686202,508,527.0,154,binary data,drep13ws3rjsec7yp858an0h73l4aeeekr77hwz3yd6suwmyr2fzlapq,False,1
143,9768525226,508,528.0,88,binary data,drep13ws367l38k0m5xuxt5agzjmgaz8r6gqjcp03z6lct8s3xayyplj,False,0
144,100210931172,508,527.0,1508,binary data,drep13nv2gv5d8r6kal49rdtr9pmyu52lfpwwmnuqfa3drs5gyhq3ya3,False,0
145,153057482576,508,527.0,960,binary data,drep1354sytnvd9vfemthjqqqy3rukdnkgh5hxynykq5qhu0870r7zua,False,0
146,2913294221,508,527.0,594,binary data,drep136083nwmqj39uhe9huudjc43fu9njtv4j8p3zh97f7vvchlmwnj,False,0
147,3224223658667,508,528.0,68,binary data,drep13lrngcjhwpqdv4hdzgq2j0vdctahcw7fmhzy2dq239dq5xgtv28,False,5
148,472709333824,508,527.0,957,binary data,drep1jde8rt3uh9yw23wkyf8zr8874u2g0qaue4d860fwdx7gzlktygq,False,27
149,39015764758,508,527.0,1040,binary data,drep1jwwnle5ky60m22q8cgf986lyftegzm6t4ea5tx3f4nas78kfs86,False,0
150,212318988929,508,527.0,1948,binary data,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,False,4
151,366103771900,508,527.0,778,binary data,drep1jk8rk0p7py52vz4jnhwjtn4nhyptnr5tcvewgpahwu7djkqu46m,False,0
152,1212159475395,508,527.0,23,binary data,drep1jkdeccjwuun37e64l7zpjwe67xmsxmgpzkuhqtt0qjcrudkvfx2,False,0
153,35834025289,508,527.0,1236,binary data,drep1ng2exqa5zjz8wfd87wd7kkmlmurx2ef79ddlag7lww8hvtnjzuq,False,4
154,42692312065,508,527.0,1886,binary data,drep1n054amcvhv8mskwgqd2d8g60ncpdugpewk5q3gky94whc29ssyk,False,0
155,9505931736,508,528.0,628,binary data,drep1nh0vufazx3pw4qqn8qg5lnhyfunny4tqdvuhn0zxcc3ac42c5ck,False,0
156,1856464894035,508,528.0,278,binary data,drep1n6gwr6wsyhawt2lewpssmqqnfu4ss75h0stc25lkpsl2q72gycy,False,43
157,206880699926,508,527.0,28,binary data,drep1nm3mpnnvtxvlmqt7lpnskm0clhtm7ngg4pm7qklv42j5qcvhhnw,False,12
158,108129018,508,527.0,828,binary data,drep1nmuhufqmhkcr3szju68yuz6cx6zg6le52arp0yhgsxlwkw7ykls,False,0
159,712219221,508,527.0,1913,binary data,drep15tv59ngt58zm9ps5dtg4v7a4mqztf57l8slkzfxdw2kfk8qdtdz,False,0
160,250828043349,508,527.0,923,binary data,drep15td6lshfws8kezwkts6ysjacashk9y6ldl2v50klr3v8urfg02k,False,0
161,49281748069,508,528.0,298,binary data,drep15t44tkj2h0x7p2n8ewufh4fsk754adlftngrefzgz587sgm4k45,False,0
162,52667401650,508,528.0,36,binary data,drep15v2a3djn6jp0efdr7q5ym9gndzj3gs83mtj0ngcvm73gugewgp2,False,0
163,450193727739,508,527.0,351,binary data,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,False,17
164,93364489388,508,528.0,38,binary data,drep15nvw9d6zr6m08dpckkx4d3g6dplc5vh7yhekyjw0vq07spk38ak,False,2
165,8448673,508,527.0,109,binary data,drep154r6hqyyhlhys69x05wekzhq2nhpw5g7k29dgn28chvu7nj90k4,False,0
166,365420222137,508,527.0,1776,binary data,drep156ve0n0022grgwz5yu49n6t0w60njz2veehux865e5e5kyfc0lq,False,0
167,1009386717264,508,527.0,1414,binary data,drep14qm80e579gf629ekr4snl7jrvxgr0qrqmg4aqgnggcmy7pgpysf,False,0
168,3571188357884,508,527.0,34,binary data,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,False,46
169,70016373309,508,528.0,15,binary data,drep14x9gpk4w6v8k6n86qfqr77q0ec6334jnk8hrqn9ws288jjuf3p8,False,0
