hash,bech32,name,ticker,valid_meta,itn,impersonator,active_stake,live_stake,owner_stake,delegator,block_epoch,total_block,block,margin,fixed_cost,pledge,reward_amount,pool_fee,reg_time,mithril,ros.0,ros.1,ros.2,ros.3,ros.6,ros.12,ros.18,ros.36,ros.73,cluster_name,cluster_order
55962d29056c55303f0db16442011ab0392f7e7b37bdaeae97a14f0e,pool12ktz62g9d32nq0cdk9jyyqg6kquj7lnmx776at5h598supql0t2,CTEC2 Stake Pool,CTEC2,True,False,False,7591638767183,7594481014126,14899427450,6,297,2034,10,0.5,680000000,10000000000,403330583646,642527299963,1620455844,False,0.0139,0.0104,0.0087,0.0076,0.0105,0.0097,0.0095,0.0102,0.0103,crown-tech.co.jp,1.0
83202c4914374cba6c1ee655ffed5a9b57eab61f6658faa3567376c2,pool1svszcjg5xaxt5mq7ue2llm26ndt74dslvev04g6kwdmvyf0t657,Orcada,ORCA,True,False,False,7574439309912,7571435125761,111205414867,48,204,1202,10,0.01,340000000,100000000000,462273479039,73351114127,1661124591,False,0.0256,0.0138,0.0208,0.0231,0.0221,0.0243,0.0244,0.0237,0.0237,,
f018942907ac50ed7f831f14755ad93698188492d09d229655e6ade1,pool17qvfg2g843gw6lurru282kkex6vp3pyj6zwj99j4u6k7zvmva5a,1 Percent Pool #4 (v2),1PCT4,True,True,False,7555619400249,7558579967421,67339053131,441,335,7486,4,0.01,340000000,50000000000,4814617617815,162119613765,1604995216,True,0.0431,0.0070,0.0208,0.0278,0.0249,0.0230,0.0232,0.0235,0.0252,1percentpool.eu,16.0
5016cf588331d0f6d0e57f7f6d36d8d4f53224c77c09380580ea6430,pool12qtv7kyrx8g0d5890alk6dkc6n6nyfx80synspvqafjrqd3ergz,Asahi Stake Pool,ASAHI,True,False,False,7521978908157,7525176813490,78520526852,72,299,2210,8,0,340000000,40000000000,1069228631980,101088961023,1619277232,False,0.0336,0.0281,0.0246,0.0247,0.0206,0.0192,0.0237,0.0236,0.0241,,
1d8988c2057d6efd6a094e468840a51942ab03b5b69b07a2bca71b53,pool1rkyc3ss904h066sffergss99r9p2kqa4k6ds0g4u5ud4x7yaajd,1 Percent Pool #5 (v1),1PCT5,True,True,False,7492545066790,7493634193465,67304612611,525,352,7203,10,0.01,340000000,50000000000,5897610122850,178689976337,1596065471,True,0.0473,0.0245,0.0244,0.0233,0.0239,0.0231,0.0245,0.0238,0.0241,1percentpool.eu,6.0
000001b844f4e4c900ae0dfdc84a8845f71090b82fb473e6c70a31ee,pool1qqqqrwzy7njvjq9wph7usj5gghm3py9c97688ek8pgc7uem9cfz,ADAfrog 2 🐸,FROG2,True,False,False,7436575511173,7437780886108,150000000000,1359,354,5005,8,0.04,340000000,150000000000,3064371725402,248009043196,1596078811,False,0.0404,0.0273,0.0274,0.0263,0.0210,0.0225,0.0222,0.0222,0.0234,adafrog.io,0.0
9138b6f09e8e69c29fdee4e11b147b7ad351aab23fc73a9976907f10,pool1jyutduy73e5u9877uns3k9rm0tf4r24j8lrn4xtkjpl3q5sn5mw,"Koala Pool stake, earn, & save Koalas コアラを救え",KOALA,True,False,False,7428390098723,7429501451338,521301981,489,347,2780,3,0.03,170000000,500000000,1438101157360,125280897802,1596064531,False,0.0348,0.0223,0.0241,0.0201,0.0248,0.0231,0.0216,0.0233,0.0240,moomanchoo.github.io,0.0
d2f12c2f3094ed0784f048fe93a62d8b061525b356e043be084470d9,pool16tcjctesjnks0p8sfrlf8f3d3vrp2fdn2msy80sgg3cdjtayu3z,TapTap Vienna,TAPSY,True,False,False,7423201743440,7425305080890,9773409,723,354,6923,4,0.01,340000000,5000000,4973772099293,169863914903,1596060851,False,0.0448,0.0246,0.0247,0.0235,0.0242,0.0210,0.0225,0.0235,0.0232,,
01fbe26f514707ff29c38aa597ad8ff86a1572e760858d0e7ae4fc32,pool1q8a7ym63gurl72wr32je0tv0lp4p2uh8vzzc6rn6un7ryslvqmu,LoneStar Staking Pool,LSSP,True,False,False,7565764737423,7422594488601,53618780710,402,187,1263,13,0.02,340000000,50000000000,488838902129,72865332093,1636604403,False,0.0269,0.0428,0.0251,0.0244,0.0243,0.0216,0.0206,0.0219,0.0236,,
f83cb7810af45813ad4e16f2497a0d02997e2987f4a41fa3830a4d88,pool1lq7t0qg273vp8t2wzmeyj7sdq2vhu2v87jjplgurpfxcs9afnr3,LEOPool,LEO,True,False,False,7400036257119,7400036257119,0,11,233,5884,0,0.2,340000000,50000000000,4156108574857,1118327647909,1596638651,False,0.0375,0,0,0,0,0,0,0,0,staking-fm.site,1.0
